adm0,adm1,adm2,year,pop
SIERRA LEONE,EASTERN,KAILAHUN,2020,"567,273"
SIERRA LEONE,EASTERN,KAILAHUN,2021,578618
SIERRA LEONE,EASTERN,KAILAHUN,2023,6O1994
SIERRA LEONE,EASTERN,KAILAHUN,2025,626315
SIERRA LEONE,EASTERN,KENEMA,2020,816136
SIERRA LEONE,EASTERN,KENEMA,2021,832459
SIERRA LEONE,EASTERN,KENEMA,2023,866090
SIERRA LEONE,EASTERN,KENEMA,2025,901080
SIERRA LEONE,EASTERN,KONO,2020,340632
SIERRA LEONE,EASTERN,KONO,2021,347445
SIERRA LEONE,EASTERN,KONO,2023,361482
SIERRA LEONE,EASTERN,KONO,2025,376086
SIERRA LEONE,NORTHERN,BOMBALI,2020,579583
SIERRA LEONE,NORTHERN,BOMBALI,2021,591175
SIERRA LEONE,NORTHERN,BOMBALI,2023,615058
SIERRA LEONE,NORTHERN,BOMBALI,2025,639906
SIERRA LEONE,NORTHERN,KAMBIA,2020,413430
SIERRA LEONE,NORTHERN,KAMBIA,2021,421699
SIERRA LEONE,NORTHERN,NA,2023,438736
SIERRA LEONE,NORTHERN,KAMBIA,2025,456461
SIERRA LEONE,NORTHERN,KOINADUGU,2020,415887000
SIERRA LEONE,NORTHERN,KOINADUGU,2021,424205
SIERRA LEONE,NORTHERN,KOINADUGU,2023,441343
SIERRA LEONE,NORTHERN,NA,2025,459173
SIERRA LEONE,NORTHERN,PORT LOKO,2020,681528
SIERRA LEONE,NORTHERN,PORT LOKO,2021,695159
SIERRA LEONE,NORTHERN,PORT LOKO,2023,723243
SIERRA LEONE,NORTHERN,PORT LOKO,2025,752462000
SIERRA LEONE,NORTHERN,TONKOLILI,2020,548648
SIERRA LEONE,NORTHERN,TONKOLILI,2021,559621
SIERRA LEONE,NORTHERN,TONKOLILI,2023,58223O
SIERRA LEONE,NORTHERN,TONKOLILI,2025,605752
SIERRA LEONE,SOUTHERN,BO,2020,834700
SIERRA LEONE,SOUTHERN,BO,2021,851394
SIERRA LEONE,SOUTHERN,BO,2023,885790
SIERRA LEONE,SOUTHERN,BO,2025,921576
SIERRA LEONE,SOUTHERN,BONTHE,2020,194415
SIERRA LEONE,SOUTHERN,BONTHE,2021,198303
SIERRA LEONE,SOUTHERN,BONTHE,2023,2O6314
SIERRA LEONE,SOUTHERN,BONTHE,2025,"214,649"
SIERRA LEONE,SOUTHERN,MOYAMBA,2020,317037
SIERRA LEONE,SOUTHERN,MOYAMBA,2021,323378
SIERRA LEONE,SOUTHERN,MOYAMBA,2023,336442
SIERRA LEONE,SOUTHERN,MOYAMBA,2025,350034
SIERRA LEONE,SOUTHERN,PUJEHUN,2020,478012
SIERRA LEONE,SOUTHERN,PUJEHUN,2021,487572
SIERRA LEONE,SOUTHERN,PUJEHUN,2023,507270
SIERRA LEONE,SOUTHERN,PUJEHUN,2025,527764
SIERRA LEONE,WESTERN AREA,WESTERN AREA RURAL,2020,393388
SIERRA LEONE,WESTERN AREA,WESTERN AREA RURAL,2021,401256
SIERRA LEONE,WESTERN AREA,WESTERN AREA RURAL,2023,417467
SIERRA LEONE,WESTERN AREA,WESTERN AREA RURAL,2025,"434,333"
SIERRA LEONE,WESTERN AREA,WESTERN AREA URBAN,2020,1189488
SIERRA LEONE,WESTERN AREA,WESTERN AREA URBAN,2021,1213278
SIERRA LEONE,WESTERN AREA,WESTERN AREA URBAN,2023,1262294
SIERRA LEONE,WESTERN AREA,WESTERN AREA URBAN,2025,1313291
SIERRA LEONE,NORTHERN,KAMBIA,2021,421699
SIERRA LEONE,WESTERN AREA,WESTERN AREA RURAL,2023,417467
